"docname"	"pre"	"keyword"	"post"	"pattern"	"id"	"hit"
"12124"	"3 3 didnt 3 work"	"or whatever"	""	"or whatever"	733	1
"12127"	"let me see her"	"and all this"	""	"and all this"	661	1
"12134"	"to like wrestle with her"	"and all"	""	"and all"	208	1
"12136"	"went down in the lift"	"and all"	""	"and all"	209	1
"12140"	"had to call the police"	"and everything"	"but they didnt in the"	"and everything"	363	1
"12164"	"to go to work later"	"and everything"	"like"	"and everything"	364	1
"12166"	"he called and he apologised"	"and all"	""	"and all"	210	1
"12169"	"only been there four months"	"or whatever"	""	"or whatever"	734	1
"1217"	"he do about your wedding"	"and all"	""	"and all"	108	1
"12180"	"came over to my flat"	"and stuff"	""	"and stuff"	569	1
"1234"	"catholic ones come near her"	"and all this"	"sort of stuff"	"and all this"	656	1
"1235"	"had to move her bed"	"and all"	"because she didnt want to"	"and all"	111	1
"1236"	"came in at one stage"	"or something"	"and like you know just"	"or something"	817	1
"12454"	"he had skate and salmon"	"and all"	""	"and all"	211	1
"12465"	"he d tuna"	"and everything"	"battered"	"and everything"	365	1
"1260"	"she s seeing things"	"and all"	"you know"	"and all"	112	1
"12678"	"oh into nintendo"	"and everything"	"like that"	"and everything"	366	1
"13029"	"s like a fridge like"	"or something"	""	"or something"	884	1
"13121"	"think she was very young"	"or something"	""	"or something"	885	1
"1321"	"bringing in fruit for people"	"and stuff"	""	"and stuff"	548	1
"1323"	"was like f feeding time"	"or something"	""	"or something"	818	1
"13230"	"hiding up on the stairs"	"and everything"	""	"and everything"	367	1
"13248"	"putting houses there"	"or something"	""	"or something"	886	1
"13257"	"you should protest"	"or something"	"like the wonder years"	"or something"	887	1
"13264"	"there are pheasant uhm sparrowhawks"	"and everything"	"up there"	"and everything"	368	1
"13278"	"know 2 the steel stairs"	"and everything"	""	"and everything"	369	1
"13389"	"and nigel had bought wine"	"and all this"	"kind of stuff"	"and all this"	662	1
"13405"	"met up 2 with him"	"and stuff"	"uhm"	"and stuff"	570	1
"13439"	"he brought me a present"	"and stuff"	"you 1 1 know 1"	"and stuff"	571	1
"13504"	"crowd of them the family"	"and stuff"	""	"and stuff"	572	1
"13516"	"good few of his friends"	"and stuff"	"and we were having great"	"and stuff"	573	1
"13530"	"and he had dinner ready"	"and all this"	"kind of stuff and oh"	"and all this"	663	1
"13572"	"oh gumbino s"	"or something like that"	""	"or something like that"	475	1
"13574"	"around but much more spacious"	"and everything"	"and there s a balcony"	"and everything"	370	1
"13577"	"st stone up the stairs"	"and all this"	"kind of stuff"	"and all this"	664	1
"13578"	"for go for a coffee"	"or something"	"in in thi this new"	"or something"	889	1
"13620"	"the middle of the night"	"and everything"	"to look out to see"	"and everything"	371	1
"13621"	"light flashing in the window"	"and everything"	""	"and everything"	372	1
"13669"	"they d loads of parades"	"and stuff"	""	"and stuff"	574	1
"13673"	"monday so we d classes"	"and everything"	""	"and everything"	373	1
"13705"	"an offence against the state"	"or something"	""	"or something"	890	1
"13841"	""	"and all"	"the counselling books are in"	"and all"	215	1
"13977"	"do an extra week after"	"or something"	""	"or something"	891	1
"14001"	"it in rehab and crc"	"and stuff"	""	"and stuff"	575	1
"14006"	"they help people with feeding"	"and all that"	"kind of stuff"	"and all that"	680	1
"14015"	"know what s gone wrong"	"and everything"	"so you d know whether"	"and everything"	374	1
"14023"	"hospital or community health or"	"or stuff like that"	""	"or stuff like that"	493	1
"1403"	"what did i want wine"	"or something like that"	""	"or something like that"	465	1
"14119"	"and he fits into it"	"and all"	""	"and all"	217	1
"1420"	"pregnant or not drinking"	"or something"	"you know"	"or something"	820	1
"14236"	"uh continued to watch tv"	"and stuff like that"	""	"and stuff like that"	498	1
"14264"	"have you know rub him"	"and everything"	""	"and everything"	375	1
"14378"	"other people have paintings"	"and things like that"	""	"and things like that"	2	1
"1438"	"like a greatauntie s house"	"or something"	"like"	"or something"	821	1
"1443"	""	"and everything"	"was angled"	"and everything"	343	1
"145"	"mum always says about angeline"	"and all"	""	"and all"	95	1
"14587"	"it was probably a cactus"	"or something"	""	"or something"	892	1
"14673"	"sorry did she choke"	"or something"	""	"or something"	893	1
"14716"	"i thought ye had mice"	"or something"	""	"or something"	894	1
"14783"	"if you re eating mints"	"or something"	""	"or something"	895	1
"14862"	"think it s just mine"	"and all"	"the first years"	"and all"	218	1
"15208"	"come home even as bad"	"and all"	"as he was he d"	"and all"	219	1
"15313"	"twenty thousand with the curtains"	"and all that"	""	"and all that"	681	1
"15314"	""	"and all that"	"s going to be repainted"	"and all that"	682	1
"15317"	"hospital and paying kitchen staff"	"and all"	"the rest"	"and all"	222	1
"15329"	"yeah and the heating"	"and everything"	""	"and everything"	376	1
"15404"	"now he was at school"	"and everything"	"like and was educated and"	"and everything"	377	1
"1543"	"trying to book a holiday"	"or something"	"just so that he could"	"or something"	822	1
"15563"	"yeah it cleanses the system"	"or something"	"i dont know"	"or something"	896	1
"15572"	"and uh cod liver oil"	"and all"	"of those primrose oil"	"and all"	223	1
"1558"	"with your mum and dad"	"and everything"	"today were you"	"and everything"	344	1
"15618"	"she d a neighbour over"	"or something"	"and uhm they a gl"	"or something"	897	1
"15710"	"drinking and dancing and posing"	"and everything"	""	"and everything"	379	1
"15714"	"up to a party afterwards"	"or something"	"but i m not really"	"or something"	898	1
"15786"	"s and going attention shoppers"	"and all this"	"at the top of her"	"and all this"	665	1
"15802"	"to the nurse s station"	"or whatever"	""	"or whatever"	735	1
"15818"	"d inject us with aids"	"and all this"	""	"and all this"	666	1
"15834"	"and serve at the bar"	"and everything"	"all at the same time"	"and everything"	380	1
"15837"	"there from the south mall"	"and everything"	"and then it just turned"	"and everything"	381	1
"1599"	"i had lots of wine"	"and everything"	"in the restaurant and then"	"and everything"	345	1
"16023"	"is he normal"	"or something"	""	"or something"	899	1
"16027"	"was anorexically thin bones ribs"	"and everything"	"was sticking out all over"	"and everything"	382	1
"16179"	"the uh kind of show"	"and everything"	""	"and everything"	383	1
"16377"	"it was getting too expensive"	"and stuff"	""	"and stuff"	577	1
"1651"	"those for like ten years"	"or something"	"will you"	"or something"	823	1
"16578"	"ireland in the last year"	"or so"	""	"or so"	510	1
"1667"	"working sa all day saturday"	"and all"	"day sunday in up in"	"and all"	113	1
"1674"	"it s six hundred"	"or something"	""	"or something"	824	1
"16818"	"worried about me up here"	"and stuff"	""	"and stuff"	578	1
"16842"	"we ve essays to do"	"and stuff"	""	"and stuff"	579	1
"16853"	"the flat warming party is"	"and all this"	"you know"	"and all this"	667	1
"16910"	"nine kids"	"or something"	""	"or something"	900	1
"16985"	"people going into their rooms"	"and stuff"	"2 2 you know 2"	"and stuff"	580	1
"1707"	"a million all these tops"	"and everything"	""	"and everything"	346	1
"17080"	"maybe they ask you questions"	"or something like that"	""	"or something like that"	476	1
"1710"	"pat honestly if you dont"	"or whatever"	"i have the receipts"	"or whatever"	711	1
"1713"	"in spray guns 1 1"	"and all"	"you have 1 to do"	"and all"	114	1
"17198"	"was still up washing clothes"	"or something"	""	"or something"	902	1
"17326"	"ve got all these tractors"	"and all"	"i suppose on the road"	"and all"	228	1
"17350"	"got traffic lights pedestrian crossings"	"and everything"	""	"and everything"	384	1
"17351"	"the you could come acro"	"and all"	"the different things at a"	"and all"	229	1
"17355"	"they have people walking across"	"and everything"	"dont they"	"and everything"	385	1
"17368"	"they have a shooting thing"	"and all"	""	"and all"	230	1
"17426"	"into verses of ave maria"	"and everything"	"in the middle of it"	"and everything"	386	1
"17446"	"bullet holes through the windows"	"and all this"	"kind of thing"	"and all this"	668	1
"17452"	"black area only"	"and all"	"of us whites a crowd"	"and all"	232	1
"17453"	"up on the tenth floor"	"or whatever"	"and you you d go"	"or whatever"	736	1
"17456"	"it seven in the morning"	"or something like that"	"and left by about three"	"or something like that"	477	1
"17468"	"sign in the register here"	"or whatever"	""	"or whatever"	737	1
"17470"	"dont come down this evening"	"or something"	"you know"	"or something"	904	1
"17488"	"or gangs gang rival gangs"	"and stuff"	""	"and stuff"	582	1
"175"	"they sold tickets"	"and everything"	""	"and everything"	339	1
"17550"	"we went in a boat"	"and everything"	"down near them"	"and everything"	387	1
"17558"	"they give you these raincoats"	"and everything"	"to wear"	"and everything"	388	1
"17598"	"had loads of bunk beds"	"and everything"	""	"and everything"	389	1
"176"	"there was a a fireplace"	"and all"	"in the shelter"	"and all"	96	1
"17665"	"state of the art rollercoasters"	"and stuff"	""	"and stuff"	583	1
"1768"	"lived in london or dublin"	"or something"	""	"or something"	825	1
"17685"	"were there waterslides"	"and stuff"	""	"and stuff"	584	1
"17701"	"to keep three for christmas"	"or something like that"	""	"or something like that"	478	1
"1771"	"been out in mcsweeney s"	"and all"	"the rest and i ve"	"and all"	115	1
"17761"	"no on an optimal day"	"or whatever"	"that means"	"or whatever"	738	1
"17763"	"all the all the lights"	"and all"	"the wind behind"	"and all"	233	1
"1777"	"decided to drink our cocktails"	"and all"	"the rest of it"	"and all"	116	1
"1791"	"only macduine that s there"	"or whatever"	"you know"	"or whatever"	712	1
"18331"	"for the ads"	"and stuff"	"that he put out"	"and stuff"	585	1
"1835"	"s friendly with freddie hopkins"	"and all that"	"crowd"	"and all that"	674	1
"18492"	"me to in the bed"	"or something"	""	"or something"	906	1
"1850"	"around"	"and all"	"the rest of it"	"and all"	118	1
"18589"	"just saying how are you"	"or whatever"	""	"or whatever"	739	1
"18603"	"they ve got a cd"	"and stuff"	"out now"	"and stuff"	586	1
"18604"	"then they get like gary"	"and all"	"to sing 2 2 just"	"and all"	234	1
"18657"	"know that woman s heart"	"and all that"	"kind of stuff"	"and all that"	683	1
"18667"	"mean 1 she loves acting"	"and stuff"	"but she cant sing"	"and stuff"	587	1
"1880"	"sample all the sweets 2"	"and all"	""	"and all"	119	1
"18961"	"you know get a dog"	"or something"	""	"or something"	907	1
"1900"	"the nuts for the birds"	"and all"	"in it"	"and all"	120	1
"19129"	"probably man that helps josh"	"or something"	"like you know as well"	"or something"	908	1
"19282"	"was real moody as well"	"or something"	""	"or something"	909	1
"19683"	"or blackboards or green boards"	"or whatever"	""	"or whatever"	740	1
"19709"	"always seems to wear together"	"and everything"	""	"and everything"	390	1
"19745"	"more more red"	"or something"	""	"or something"	910	1
"19821"	"got to do with it"	"and all"	""	"and all"	236	1
"19864"	"and that their stage clothes"	"and all that"	"and to pay for the"	"and all that"	684	1
"19886"	"who s doing the makeup"	"and all that"	""	"and all that"	685	1
"19975"	"let your money talk"	"or something like that"	""	"or something like that"	479	1
"20024"	"he d get lost"	"or something like that"	""	"or something like that"	480	1
"20036"	"be swinging up on ropes"	"and all this"	""	"and all this"	669	1
"20097"	"was all the backstage crew"	"and all that"	""	"and all that"	686	1
"20152"	"2 2 lip 2 service"	"and everything"	"3 3 one would still"	"and everything"	391	1
"20245"	"not were were were collaborators"	"etcetera"	""	"etcetera"	429	1
"20248"	"no no way around this"	"and all that"	"which of course is"	"and all that"	687	1
"20268"	"a line in the sand"	"etcetera"	"there will be no talking"	"etcetera"	430	1
"20327"	"be back the next time"	"and things like that"	""	"and things like that"	3	1
"20328"	"of their their sellby date"	"and things like that"	""	"and things like that"	4	1
"20359"	"talking about in donnybrook havana"	"or whatever"	"it s called"	"or whatever"	741	1
"20444"	"the other day in town"	"and all"	"everyone was stopped"	"and all"	242	1
"20461"	"the in the lifted up"	"and all"	"the kids could see could"	"and all"	243	1
"20496"	""	"and all"	"the work that s got"	"and all"	244	1
"2054"	"father martin reid writes books"	"and all"	"up there"	"and all"	121	1
"20541"	"sake dont worry about that"	"and so on"	""	"and so on"	19	1
"20623"	"1 1 returning 1 emigrants"	"and everything"	""	"and everything"	392	1
"20724"	"to bring her to college"	"and all"	"the rest and then"	"and all"	245	1
"20756"	"should i say happy divali"	"or whatever"	""	"or whatever"	742	1
"20763"	"rang up em her dad"	"or something"	""	"or something"	913	1
"20767"	"about fifteen"	"or so"	""	"or so"	511	1
"20807"	"you know like musical items"	"and things like that"	""	"and things like that"	5	1
"20897"	"s all determinants and matrices"	"and all that shit"	""	"and all that shit"	708	1
"20921"	"thing on monday as well"	"and all that"	""	"and all that"	689	1
"20946"	"pretty busy in the lab"	"and stuff like that"	""	"and stuff like that"	499	1
"20989"	"uhm they were all out"	"and all"	"the few there was only"	"and all"	248	1
"20996"	"into she was getting pains"	"or something"	"that week that just that"	"or something"	914	1
"20999"	"so he was really upset"	"and everything"	""	"and everything"	393	1
"21049"	"drink is usually a coffee"	"or something"	""	"or something"	915	1
"21070"	"he s so good and"	"and everything"	"but 4 4 yet 4"	"and everything"	394	1
"21174"	"would be about forty pounds"	"or something like that"	""	"or something like that"	481	1
"21176"	"to some time near christmas"	"or something"	""	"or something"	917	1
"21185"	"think she s very nice"	"and all"	"2 2 this and 2"	"and all"	249	1
"21195"	"cute"	"or something"	"or what"	"or something"	918	1
"21211"	"really definitely leaving the shop"	"and everything"	""	"and everything"	395	1
"21217"	"in there for the family"	"and stuff"	""	"and stuff"	589	1
"21233"	"good while about a year"	"or so"	"and he like he s"	"or so"	512	1
"21236"	"were out and michael kinsella"	"and everything"	"was out"	"and everything"	396	1
"21247"	"and had to be chauffeurdriven"	"and all this"	"kind of craic"	"and all this"	670	1
"2178"	"know all the juice drinks"	"and all"	""	"and all"	122	1
"21857"	"he swallowed loads of seaweed"	"and all"	"the junk out of the"	"and all"	251	1
"21861"	"probably rubber boots"	"and everything"	""	"and everything"	397	1
"21873"	"was a perfect parking space"	"and all"	"i had to do was"	"and all"	252	1
"2191"	"the peach nectar"	"and all"	""	"and all"	123	1
"21993"	"she wanted to get wallpaper"	"or something"	"a couple of weeks ago"	"or something"	919	1
"2214"	"put it in accounts"	"and all"	""	"and all"	124	1
"22141"	"it looks very dublinish"	"or something"	""	"or something"	920	1
"22169"	"for about two hundred pound"	"or something"	""	"or something"	921	1
"22207"	"you should take vitamin tablets"	"or something"	""	"or something"	922	1
"22216"	"morning like or 2 2"	"or whatever"	"2"	"or whatever"	743	1
"22230"	"the subject there topic change"	"and all that"	""	"and all that"	690	1
"22344"	"to be able to relate"	"or something"	""	"or something"	923	1
"2243"	"you probably need a code"	"or something"	""	"or something"	826	1
"22816"	"what is it a year"	"or something"	"is it"	"or something"	924	1
"22907"	"just have a mass orgy"	"or something"	"now"	"or something"	925	1
"22920"	"book and my visa card"	"and everything"	"off me"	"and everything"	398	1
"23077"	"know people were hassling her"	"or something"	""	"or something"	926	1
"2311"	"oakley and down and connor"	"and all"	"the rest of it"	"and all"	125	1
"23114"	"he dressed up as tarzan"	"or something"	""	"or something"	927	1
"23256"	"for sunday and bank holidays"	"and all that"	"but they dont get a"	"and all that"	691	1
"23263"	"double time"	"and everything"	""	"and everything"	399	1
"23307"	"mentions it male and female"	"and everything"	"you know"	"and everything"	400	1
"2332"	"isnt it the the electric"	"and all"	"the rest of it"	"and all"	126	1
"23377"	"and she was grooming dogs"	"and all"	"the rest"	"and all"	255	1
"23417"	"was it for seven months"	"or something"	""	"or something"	928	1
"23451"	"like there was fourteen names"	"or something"	"on the mep thing"	"or something"	929	1
"23485"	"a man inside and proposed"	"and everything"	""	"and everything"	401	1
"2361"	"mark kirwin and the sheehans"	"and all"	"of them all together"	"and all"	127	1
"23708"	"f and p to q"	"and stuff like that"	""	"and stuff like that"	500	1
"23770"	"think around the uh seventeenth"	"or something"	""	"or something"	930	1
"23883"	"the equipment and the lights"	"and everything"	"in that room so therefore"	"and everything"	402	1
"23912"	"like a big square one"	"or something"	""	"or something"	931	1
"23943"	"make even say for fifty"	"or whatever"	""	"or whatever"	744	1
"23945"	"ll have 2 2 pavlova"	"and stuff"	"2"	"and stuff"	591	1
"23953"	"all the relatives"	"and stuff"	""	"and stuff"	592	1
"23961"	"and cream in the centre"	"or whatever"	"but like they re just"	"or whatever"	745	1
"24000"	"we get a calligraphy pen"	"or something"	"and"	"or something"	932	1
"24063"	"working being able to work"	"and stuff"	""	"and stuff"	593	1
"24107"	"they re paying for cars"	"and stuff"	"as well"	"and stuff"	594	1
"24176"	"cut his hand on glass"	"or something"	""	"or something"	933	1
"24178"	"he knocked his knees together"	"or something"	""	"or something"	934	1
"24249"	"wednesdays she used to work"	"or something like that"	""	"or something like that"	482	1
"2426"	"hull s they re called"	"or something"	""	"or something"	827	1
"2427"	"and tesco s"	"and all"	"were a bit there s"	"and all"	128	1
"24304"	"third anniversary or second anniversary"	"or something"	""	"or something"	936	1
"24316"	"or black mug mamas"	"or something like that"	""	"or something like that"	483	1
"24331"	"gold chains and the runners"	"and stuff"	""	"and stuff"	595	1
"24605"	"he was doing the records"	"or something"	"was doing the records and"	"or something"	938	1
"24713"	"my birthday party in it"	"and all"	""	"and all"	256	1
"24951"	"they have to pass exams"	"or something"	"before they can go on"	"or something"	939	1
"25001"	"4 custard 4 and jelly"	"and things like that"	"like"	"and things like that"	6	1
"25014"	"cos put blindfolds on them"	"or something"	""	"or something"	940	1
"25028"	"1 stand in the middle"	"and all"	"the kids are sitting around"	"and all"	257	1
"25179"	"late twenties ah early thirty"	"or something"	""	"or something"	941	1
"25308"	"be talking to a man"	"or something"	"about the drinking whatever"	"or something"	942	1
"25460"	"from their 4 4 son"	"or something"	"4 i was wearing them"	"or something"	943	1
"25512"	"miss the fourth year project"	"and all that"	"crap"	"and all that"	692	1
"25583"	"grew up with four brothers"	"and all that"	"and i went to a"	"and all that"	693	1
"2561"	"too much of the toppings"	"and all"	"and make it too heavy"	"and all"	129	1
"25802"	"the mortgage through my accounts"	"or whatever"	""	"or whatever"	746	1
"25822"	"uh judging my salary"	"or whatever"	""	"or whatever"	747	1
"25834"	"know it doesnt show up"	"or something like that"	""	"or something like that"	484	1
"25838"	"you re sort of soluble"	"and stuff"	""	"and stuff"	596	1
"2584"	"on our street in australia"	"and all"	"the girls were very very"	"and all"	130	1
"25861"	"standard that i m getting"	"or whatever"	"you know"	"or whatever"	748	1
"25901"	"was advertised for about seventyfive"	"or something"	""	"or something"	945	1
"25925"	"of sort of proddy pockets"	"or whatever"	"you know that i dont"	"or whatever"	749	1
"25972"	"my fair lady s road"	"or something"	""	"or something"	946	1
"25996"	"of with gardens and garages"	"and shit like that"	"for s well i ve"	"and shit like that"	628	1
"26018"	"ve got your wee pockets"	"and stuff"	""	"and stuff"	597	1
"26063"	"s got all the amenities"	"and stuff"	"and it s it s"	"and stuff"	598	1
"26099"	"s going to be decks"	"and stuff"	"there"	"and stuff"	599	1
"26128"	"you could come up afterwards"	"or something"	""	"or something"	947	1
"26150"	"go for a few drinks"	"or something"	""	"or something"	948	1
"26154"	"there s 2 2 parades"	"and all"	"on downtown at half one"	"and all"	260	1
"26171"	"even just a few pints"	"or something"	"to see how long we"	"or something"	949	1
"26185"	"her in a week 1"	"or something"	""	"or something"	950	1
"26197"	"better than than the papers"	"and stuff"	"that you get"	"and stuff"	600	1
"26216"	""	"or so"	""	"or so"	513	1
"26222"	"she s doing the teaching"	"and all"	"and"	"and all"	261	1
"26288"	"ten thousand people in downpatrick"	"or something"	"no well 1 1 maybe"	"or something"	951	1
"26332"	"ch moving and half decorating"	"and all"	""	"and all"	262	1
"26370"	"it s got the light"	"and all"	"attached to it"	"and all"	263	1
"26392"	""	"or whatever"	"and just put it all"	"or whatever"	750	1
"26406"	"was helping me measure it"	"and everything"	"and then he went off"	"and everything"	403	1
"26413"	"aye the chain wears differently"	"and all"	""	"and all"	264	1
"26414"	"the chain wears badly"	"and stuff"	""	"and stuff"	601	1
"265"	"queen mother s death prepared"	"and all"	"cos they could not ve"	"and all"	97	1
"26504"	"bell send you a text"	"or something"	""	"or something"	952	1
"26513"	"how to lean round corners"	"and all"	""	"and all"	265	1
"26630"	"last week doing the gardening"	"and stuff"	"8 8 and you know"	"and stuff"	602	1
"26723"	"delicate sort of fine fineboned"	"and everything"	"like"	"and everything"	404	1
"26963"	"be having a an announcement"	"or something"	""	"or something"	953	1
"26967"	"re getting a pay rise"	"or something"	"or"	"or something"	954	1
"27017"	"like mary and jim and"	"and all"	"the couples together"	"and all"	266	1
"27356"	"parents coming down to me"	"and all this"	"kind of 1 1 thing"	"and all this"	671	1
"27383"	"or you ll get aids"	"or something"	""	"or something"	955	1
"27402"	"he said he was sorry"	"and all that"	""	"and all that"	694	1
"27631"	"come in from letterkenny then"	"or whatever"	""	"or whatever"	751	1
"2775"	"and so obviously why we"	"and all"	"my family are doing science"	"and all"	131	1
"2778"	"enough to have a conversation"	"and stuff"	""	"and stuff"	549	1
"27828"	"maybe get into her design"	"and stuff like that"	""	"and stuff like that"	501	1
"27869"	"just all over the town"	"and everything"	"dresses"	"and everything"	405	1
"27994"	"was like delighted with it"	"and everything"	""	"and everything"	406	1
"28000"	"know my bum and hips"	"and everything"	""	"and everything"	407	1
"28130"	"only in like ten weeks"	"or something"	""	"or something"	956	1
"28182"	"you can have people over"	"and stuff"	"so"	"and stuff"	604	1
"28224"	"biology and chemistry and maths"	"or something"	"and she got like the"	"or something"	957	1
"28237"	"of like what five minutes"	"or something like that"	""	"or something like that"	485	1
"28438"	"say belfast derry and dublin"	"or something"	""	"or something"	959	1
"28448"	"re going away for christmas"	"or whatever"	"you re going to have"	"or whatever"	752	1
"28459"	"like a performance a lecture"	"or something"	""	"or something"	960	1
"28477"	"a lo lot of overlap"	"and so on"	"but that s natural that"	"and so on"	20	1
"28523"	"eleanor s kind of saying"	"and something like that"	"would stick"	"and something like that"	494	1
"2855"	"know they were doing jiving"	"and all this"	""	"and all this"	657	1
"28563"	"work you ve already done"	"and so on"	""	"and so on"	21	1
"28578"	"there again for a year"	"or so"	"and uh well until i"	"or so"	514	1
"28608"	"things in books of evidence"	"and stuff"	"book of evidence and stuff"	"and stuff"	605	1
